verb,definition,root,present_1,present_2,present_3,present_4,present_5,present_6,presentNegative_1,presentNegative_2,presentNegative_3,presentNegative_4,presentNegative_5,presentNegative_6,past_1,past_2,past_3,past_4,past_5,past_6,future_1,future_2,future_3,future_4,future_5,future_6
radest kirin,teslim etmek,,radest dikim,radest dikî,radest dike,radest dikin,radest dikin,radest dikin,radest nakim,radest nakî,radest nake,radest nakin,radest nakin,radest nakin,,,,,,,,,,,,
raketin,,,,,,,,,,,,,,,,,,,,,,,,,,
rave kirin,açıklamak,,rave dikim,rave dikî,rave dike,rave dikin,rave dikin,rave dikin,rave nakim,rave nakî,rave nake,rave nakin,rave nakin,rave nakin,,,,,,,,,,,,
rawêj kirin,tahmin etmek,,rawêj dikim,rawêj dikî,rawêj dike,rawêj dikin,rawêj dikin,rawêj dikin,rawêj nakim,rawêj nakî,rawêj nake,rawêj nakin,rawêj nakin,rawêj nakin,,,,,,,,,,,,
rawestîn,beklemek,,,,,,,,,,,,,,,,,,,,,,,,,
razan,"yatmak, uyumak",,radizem,radizî,radize,radizin,radizin,radizin,ranazem,ranazî,ranaze,ranazin,ranazin,ranazin,,,,,,,,,,,,
rê nîşan dan,yol göstermek,,rê nîşan didim,rê nîşan didî,rê nîşan dide,rê nîşan didin,rê nîşan didin,rê nîşan didin,rê nîşan nadim,rê nîşan nadî,rê nîşan nade,rê nîşan nadin,rê nîşan nadin,rê nîşan nadin,,,,,,,,,,,,
red kirin,reddetmek,,red dikim,red dikî,red dike,red dikin,red dikin,red dikin,red nakim,red nakî,red nake,red nakin,red nakin,red nakin,,,,,,,,,,,,
revîn,kaçmak,,,,,,,,,,,,,,,,,,,,,,,,,
rêwitî kirin,yolculuk etmek,,rêwitî dikim,rêwitî dikî,rêwitî dike,rêwitî dikin,rêwitî dikin,rêwitî dikin,rêwitî nakim,rêwitî nakî,rêwitî nake,rêwitî nakin,rêwitî nakin,rêwitî nakin,,,,,,,,,,,,
rûniştin,oturmak,,,,,,,,,,,,,,,,,,,,,,,,,
şandin,göndermek,,,,,,,,,,,,,,,,,,,,,,,,,
sepandin,uygulamak,,,,,,,,,,,,,,,,,,,,,,,,,
